ts_utc,run_id,query_id,retrieval_system,rank_position,publication_number,family_id,score
2026-04-06T20:38:16.821516+00:00,a1e7275a-82ef-4d94-b1ec-3eb3283de2f0,Q_S2,bm25,4,EP3825599A1,69845166,17.281073
2026-04-06T20:38:16.821555+00:00,a1e7275a-82ef-4d94-b1ec-3eb3283de2f0,Q_S2,bm25,5,US2023220973A1,76958987,17.071398
2026-04-06T20:38:16.821606+00:00,a1e7275a-82ef-4d94-b1ec-3eb3283de2f0,Q_S2,bm25,6,WO2021247935A1,78829950,16.923882
2026-04-06T20:38:16.821662+00:00,a1e7275a-82ef-4d94-b1ec-3eb3283de2f0,Q_S2,bm25,7,WO2021261841A1,79281565,16.90352
2026-04-06T20:38:16.821701+00:00,a1e7275a-82ef-4d94-b1ec-3eb3283de2f0,Q_S2,bm25,8,US2021408110A1,73700133,15.766315
2026-04-06T20:38:16.821738+00:00,a1e7275a-82ef-4d94-b1ec-3eb3283de2f0,Q_S2,bm25,9,WO2021254068A1,78912022,14.944922
2026-04-06T20:38:16.821770+00:00,a1e7275a-82ef-4d94-b1ec-3eb3283de2f0,Q_S2,bm25,10,US2021329762A1,78081021,14.744948
2026-04-06T21:07:44.722262+00:00,2cf043b5-0d87-4bdf-a382-94d93025d9fa,Q_S1,bm25,1,EP3825599A1,69845166,59.406143
2026-04-06T21:07:44.722312+00:00,2cf043b5-0d87-4bdf-a382-94d93025d9fa,Q_S1,bm25,2,US11118738B1,74251686,20.685947
2026-04-06T21:07:44.722346+00:00,2cf043b5-0d87-4bdf-a382-94d93025d9fa,Q_S1,bm25,3,EP4446650A1,81787999,18.692896
2026-04-06T21:07:44.722374+00:00,2cf043b5-0d87-4bdf-a382-94d93025d9fa,Q_S1,bm25,4,US2022003386A1,68033961,18.669838
2026-04-06T21:07:44.722400+00:00,2cf043b5-0d87-4bdf-a382-94d93025d9fa,Q_S1,bm25,5,US2021372574A1,74250727,17.41486
2026-04-06T21:07:44.722426+00:00,2cf043b5-0d87-4bdf-a382-94d93025d9fa,Q_S1,bm25,6,EP3832203A1,70008243,17.196096
2026-04-06T21:07:44.722772+00:00,2cf043b5-0d87-4bdf-a382-94d93025d9fa,Q_S1,bm25,7,EP4673683A1,89942571,16.455595
2026-04-06T21:07:44.722828+00:00,2cf043b5-0d87-4bdf-a382-94d93025d9fa,Q_S1,bm25,8,US2025230924A1,83902952,16.273647
2026-04-06T21:07:44.722857+00:00,2cf043b5-0d87-4bdf-a382-94d93025d9fa,Q_S1,bm25,9,EP3888886A1,70108112,15.2508745
2026-04-06T21:07:44.722883+00:00,2cf043b5-0d87-4bdf-a382-94d93025d9fa,Q_S1,bm25,10,WO2021224134A1,70740425,13.571975
